,classification,vocab,pos,def
3331,第三級,litter,動詞,亂丟(雜物)
3331,第三級,litter,名詞,"廢棄物,零亂之物"
3332,第一級,little,形容詞,很少的
3332,第一級,little,副詞,一點點
3332,第一級,little,名詞,沒有多少;短時間;短距離
3333,第一級,live,形容詞,"活的,有生命的;燃著的;實況播送的"
3333,第一級,live,動詞,居住
3334,第三級,lively,形容詞,精力充沛的;活潑的
3335,第二級,liver,名詞,肝臟
3336,第六級,livestock,名詞,(總稱)家畜
3337,第六級,lizard,名詞,蜥蜴
3338,第二級,load,動詞,"裝,裝載"
3338,第二級,load,名詞,裝載;擔子;工作量
3339,第三級,loaf,名詞,一條(麵包)
3340,第四級,loan,動詞,"借出,貸與"
3340,第四級,loan,名詞,貸款
3341,第三級,lobby,名詞,大廳;門廊
3342,第四級,lobster,名詞,龍蝦
3343,第二級,local,形容詞,本地的
3343,第二級,local,名詞,當地居民
3344,第三級,locate,動詞,把...設置在;使...座落於
3345,第三級,location,名詞,位置;場所
3346,第三級,lock,動詞,鎖住
3346,第三級,lock,名詞,鎖
3347,第六級,locker,名詞,(公共場所的)衣物櫃
3348,第六級,lodge,動詞,租房間給...住;申訴;暫住;投宿
3348,第六級,lodge,名詞,木屋;小旅舍;守衛室
3349,第六級,lofty,形容詞,高聳的;極高的;高傲的
3350,第三級,log,動詞,伐(林木);把...記入航海日誌
3350,第三級,log,名詞,原木;木料;工作記錄簿
3351,第四級,logic,名詞,邏輯;邏輯學
3352,第四級,logical,形容詞,合邏輯的;合理的
3353,第六級,logo,名詞,商標
3354,第三級,lollipop,名詞,棒棒糖
3355,第二級,lone,形容詞,孤單的;無伴的
3356,第一級,lonely,形容詞,寂寞的
3357,第六級,lonesome,形容詞,寂寞的;孤單的;荒涼的
3358,第一級,long,形容詞,長的
3358,第一級,long,動詞,長久地;始終
3358,第一級,long,動詞,渴望
3358,第一級,long,副詞,長久地;始終
3359,第六級,longevity,名詞,長壽;壽命
3360,第六級,longitude,名詞,經度
3361,第一級,look,動詞,看
3361,第一級,look,名詞,看;瞥;臉色;眼神;表情
3362,第五級,loop,名詞,"(線,鐵絲等繞成的)圈,環"
3363,第三級,loose,形容詞,鬆的，不明確的，散漫的
3364,第四級,loosen,動詞,"鬆開,解開"
3365,第三級,lord,名詞,"(大寫)上帝,基督"
3366,第一級,lose,動詞,輸;失去
3367,第三級,loser,名詞,輸家
3368,第二級,loss,名詞,損失
3369,第一級,lot,名詞,"很多,多數;一批;一塊地"
3370,第六級,lotion,名詞,"(化妝等用的)化妝水,塗劑"
3371,第六級,lottery,名詞,獎券;彩票;抽籤;運氣
3372,第六級,lotus,名詞,蓮花
3373,第一級,loud,形容詞,大聲的
3373,第一級,loud,副詞,"大聲地,響亮地"
3374,第六級,loudspeaker,名詞,"揚聲器,擴聲器,喇叭"
3375,第五級,lounge,動詞,(懶洋洋地)倚靠;閒蕩
3375,第五級,lounge,名詞,(旅館等的)會客廳;候機室;躺椅
3376,第四級,lousy,形容詞,不潔的;卑鄙的;討厭的
3377,第一級,love,動詞,愛，愛好；喜歡
3377,第一級,love,名詞,愛
3378,第一級,lovely,形容詞,動人的
3379,第三級,lover,名詞,情人
3380,第一級,low,形容詞,低的;矮的
3380,第一級,low,副詞,"低,向下地;低聲地;低價地"
3380,第一級,low,名詞,"低水平,低點;;低速"
3381,第二級,lower,動詞,"放下,降下;放低;減低;減弱"
3382,第四級,loyal,形容詞,"忠誠的,忠心的"
3383,第四級,loyalty,名詞,忠誠;忠心
3384,第二級,luck,名詞,好運;幸運
3385,第一級,lucky,形容詞,幸運的
3386,第六級,lucrative,形容詞,賺錢的;有利可圖的
3387,第三級,luggage,名詞,行李
3388,第六級,lullaby,名詞,"催眠曲,搖籃曲"
3389,第五級,lump,動詞,弄成一團;歸併到一起
3389,第五級,lump,名詞,團;塊;腫塊;小方塊
3390,第六級,lunar,形容詞,月的;陰曆的
3391,第一級,lunch,動詞,吃午餐
3391,第一級,lunch,名詞,午餐
3392,第三級,lung,名詞,"肺,肺臟"
3393,第六級,lure,動詞,誘惑;以誘餌吸引
3393,第六級,lure,名詞,誘惑物;魅力;誘餌
3394,第六級,lush,形容詞,蒼翠繁茂的;豐富的
3395,第四級,luxurious,形容詞,奢侈的;驕奢淫逸的
3396,第四級,luxury,名詞,"奢侈品,奢華;享受,樂趣"
3397,第六級,ma'am,名詞,女士
3398,第一級,machine,動詞,用機器做
3398,第一級,machine,名詞,機器
3399,第四級,machinery,名詞,機器;機械
3400,第一級,mad,形容詞,發火;發瘋;發狂的
3401,第六級,madam,名詞,"夫人,太太"
3402,第二級,magazine,名詞,雜誌
3403,第一級,magic,形容詞,不可思議的;有魔力的
3403,第一級,magic,名詞,魔術
3404,第三級,magical,形容詞,"魔術的,魔法的"
3405,第三級,magician,名詞,魔術師
3406,第三級,magnet,名詞,"磁鐵,磁石"
3407,第四級,magnetic,形容詞,磁鐵的;磁性的
3408,第四級,magnificent,形容詞,"壯麗的,宏偉的"
3409,第六級,magnify,動詞,放大;擴大;誇張
3410,第三級,maid,名詞,侍女;女僕
3411,第六級,maiden,形容詞,未婚的;少女的;初次的
3411,第六級,maiden,名詞,少女;處女
3412,第一級,mail,動詞,寄信
3412,第一級,mail,名詞,信件
3413,第一級,main,形容詞,最主要的
3413,第一級,main,名詞,總管道;主要部分;要點
3414,第六級,mainland,名詞,大陸
3415,第五級,mainstream,名詞,(河的)主流;主要傾向
3416,第二級,maintain,動詞,維持;保養
3417,第五級,maintenance,名詞,維持;維修;保養
3418,第六級,majestic,形容詞,雄偉的;威嚴的;崇高的
3419,第六級,majesty,名詞,雄偉;壯麗;(帝王的)威嚴
3420,第二級,major,形容詞,較多的;主要的
3420,第二級,major,動詞,主修
3420,第二級,major,名詞,主修
3421,第三級,majority,名詞,"過半數,大多數"
3422,第一級,make,動詞,製造
3422,第一級,make,動詞,使得
3423,第四級,makeup,名詞,構造;性格;化妝;補考;排版
3424,附　錄,Malaysia,名詞,馬來西亞
3425,第二級,male,形容詞,男性的
3425,第二級,male,名詞,雄性動物
3426,第三級,mall,名詞,大規模購物中心
3427,第五級,mammal,名詞,哺乳動物
3428,第一級,man,動詞,給...配置人員
3428,第一級,man,名詞,男人
3428,第一級,man,名詞,人類
3429,第二級,manage,動詞,管理;經營;處理
3430,第二級,management,名詞,管理;經營;處理
3431,第二級,manager,名詞,經理
3432,第五級,mandate,名詞,命令;指令
3433,第二級,mango,名詞,芒果
3434,第五級,manifest,形容詞,顯然的;清楚的
3434,第五級,manifest,動詞,表明;顯示
3435,第五級,manipulate,動詞,操作;運用;操縱;對...做手腳
3436,第三級,mankind,名詞,人類
3437,第二級,manner,名詞,舉止;態度
3438,第五級,mansion,名詞,"大廈,大樓"
3439,第四級,manual,形容詞,用手操作的
3439,第四級,manual,名詞,手冊
3440,第四級,manufacture,動詞,"(大量)製造,加工"
3440,第四級,manufacture,名詞,"製品,產品"
3441,第四級,manufacturer,名詞,"製造業者,廠商"
3442,第六級,manuscript,名詞,手稿;打字稿;原稿
3443,第一級,many,形容詞,很多的
3443,第一級,many,代名詞,許多
3444,第一級,map,動詞,繪製...的地圖;詳細計劃
3444,第一級,map,名詞,地圖
3445,第六級,maple,名詞,槭樹;楓樹
3446,第六級,mar,動詞,毀損;損傷;玷污
3447,附　錄,Mar.,縮寫,三月 (March)
3448,第四級,marathon,名詞,馬拉松賽跑
3449,第三級,marble,名詞,大理石
3450,第三級,march,動詞,行軍;把(人)強行帶走
3450,第三級,march,名詞,三月
3451,第四級,margin,名詞,邊緣;利潤
3452,第六級,marginal,形容詞,頁邊的;邊緣的;不重要的
3453,第五級,marine,形容詞,海的;海生的;海軍陸戰隊的
3453,第五級,marine,名詞,船舶;海運業;海軍陸戰隊隊員
3454,第一級,mark,動詞,做記號
3454,第一級,mark,名詞,記號
3455,第三級,marker,名詞,標誌;白板筆;馬克筆
3456,第一級,market,動詞,(在市場上)銷售
3456,第一級,market,名詞,市場
3457,第二級,marriage,名詞,"結婚,婚姻"
3458,第一級,married,形容詞,已婚的
3459,第二級,marry,動詞,結婚
3460,第六級,martial,形容詞,戰爭的;軍事的;尚武的
3461,第六級,marvel,動詞,感到驚訝;感到好奇
3461,第六級,marvel,名詞,令人驚奇的事物(或人物)
3462,第三級,marvelous,形容詞,了不起的；絕妙的
3463,第五級,masculine,形容詞,男性的;男子氣概的
3463,第五級,masculine,名詞,男性;陽性;陽性詞
3464,第二級,mask,動詞,在(臉上)戴面具;掩飾
3464,第二級,mask,名詞,面具
3465,第二級,mass,名詞,團;塊
3466,第五級,massage,動詞,給...按摩(或推拿)
3466,第五級,massage,名詞,按摩(術);推拿
3467,第五級,massive,形容詞,厚實的;粗大的;大量的
3468,第二級,master,動詞,精通
3468,第二級,master,名詞,主人
3469,第五級,masterpiece,名詞,"傑作,名作"
3470,第六級,mastery,名詞,支配;統治;精通;掌握
3471,第二級,mat,名詞,蓆子;墊子
3472,第二級,match,名詞,"比賽,競賽;對手;相配者;火柴"
3473,第二級,mate,動詞,使交配
3473,第二級,mate,名詞,"同伴,伙伴"
3474,第二級,material,名詞,"材料,原料"
3475,第一級,math,名詞,數學
3476,第三級,mathematical,形容詞,數學的
3477,第一級,mathematics,名詞,數學
3478,第一級,matter,動詞,"有關係,要緊"
3478,第一級,matter,名詞,事情
3479,第五級,mattress,名詞,床墊
3480,第二級,mature,形容詞,成熟的;到期的
3481,第四級,maturity,名詞,成熟;完善;(支票等的)到期
3482,第四級,maximum,形容詞,最大限度的
3482,第四級,maximum,名詞,最高極限
3483,第一級,may,助動詞,可能
3483,第一級,may,名詞,五月
3484,第一級,maybe,副詞,可能;也許
3485,第三級,mayor,名詞,"市長,鎮長"
3486,第一級,me,代名詞,(受格) 我
3487,第三級,meadow,名詞,"草地,牧草地"
3488,第一級,meal,名詞,餐
3489,第一級,mean,形容詞,兇的;吝嗇的
3489,第一級,mean,動詞,意指
3490,第二級,meaning,名詞,意義
3491,第三級,meaningful,形容詞,意味深長的;有意義的
3492,第二級,means,名詞,"手段,方法;工具;收入"
3493,第五級,meantime,副詞,其間;同時
3493,第五級,meantime,名詞,"其時,其間"
3494,第三級,meanwhile,副詞,其間;同時
3494,第三級,meanwhile,名詞,"其時,其間"
3495,第四級,measurable,形容詞,可測量的;可預見的
3496,第二級,measure,動詞,計量
3496,第二級,measure,名詞,"尺寸,度量單位,【音】拍子;方法，措施（通常複數）"
3497,第二級,measurement,名詞,測量法;測定;尺寸
3498,第一級,meat,名詞,肉類
3499,第四級,mechanic,名詞,技工
3500,第四級,mechanical,形容詞,機械的
3501,第五級,mechanism,名詞,機械裝置;機械作用;結構
3502,第三級,medal,名詞,"獎章,紀念章,勳章"
3503,第一級,media,名詞,媒介物;新聞媒介
3504,第六級,mediate,動詞,調停解決;傳達
3505,第二級,medical,形容詞,醫學的;醫術的;醫療的
3506,第五級,medication,名詞,藥物治療;藥物
3507,第一級,medicine,名詞,藥
3508,第六級,medieval,形容詞,中世紀的;中古風的;守舊的
3509,第六級,meditate,動詞,沈思;深思熟慮
3510,第六級,meditation,名詞,沈思;默想;冥想
3511,第一級,medium,形容詞,中間的；中等的
3511,第一級,medium,名詞,媒體;媒介；手段；傳播媒介
3512,第一級,meet,動詞,遇見
3513,第一級,meeting,名詞,集會
3514,第六級,melancholy,形容詞,憂鬱的;令人沮喪的
3514,第六級,melancholy,名詞,憂鬱;愁思
3515,第二級,melody,名詞,旋律;主調
3516,第三級,melon,名詞,"瓜,甜瓜"
3517,第三級,melt,動詞,融化;熔化
3518,第一級,member,名詞,會員
3519,第二級,membership,名詞,會員身分
3520,第四級,memorable,形容詞,值得懷念的;難忘的
3521,第四級,memorial,形容詞,追悼的;記憶的
3521,第四級,memorial,名詞,紀念碑
3522,第四級,memorize,動詞,記住;背熟
3523,第二級,memory,名詞,記憶
3524,第三級,mend,動詞,"修理,修補"
3525,第三級,mental,形容詞,"精神的,心理的"
3526,第六級,mentality,名詞,智力;精神性;心理狀態
3527,第二級,mention,動詞,"提到,說起"
3527,第二級,mention,名詞,"提及,說起"
3528,第五級,mentor,名詞,導師
3529,第一級,menu,名詞,菜單
3530,第六級,merchandise,動詞,買賣;經營
3530,第六級,merchandise,名詞,商品;貨物
3531,第四級,merchant,名詞,商人
3532,第四級,mercy,名詞,"慈悲,憐憫;仁慈"
3533,第四級,mere,形容詞,"僅僅的,只不過的"
3534,第五級,merge,動詞,合併;融合
3535,第四級,merit,名詞,"長處,優點;法律依據"
3536,第六級,mermaid,名詞,美人魚
3537,第三級,merry,形容詞,"愉快的,興高采烈的"
3538,第三級,mess,動詞,"弄髒,弄亂"
3538,第三級,mess,名詞,"混亂,凌亂的狀態"
3539,第二級,message,名詞,消息;音信
3540,第四級,messenger,名詞,送信人
3541,第四級,messy,形容詞,混亂的
3542,第二級,metal,形容詞,金屬的
3542,第二級,metal,名詞,金屬
3543,第五級,metaphor,名詞,隱喻;象徵
3544,第二級,meter,名詞,公尺;計量器
3545,第二級,method,名詞,方法
3546,第二級,metro,名詞,"地下鐵道,大都市"
3547,第五級,metropolitan,形容詞,大都市的
3547,第五級,metropolitan,名詞,大城市人
3548,附　錄,Mexico,名詞,墨西哥
3549,第三級,microphone,名詞,麥克風
3550,第四級,microscope,名詞,顯微鏡
3551,第三級,microwave,動詞,用微波爐烹調
3551,第三級,microwave,名詞,微波爐；微波
3552,第一級,middle,形容詞,中間的
3552,第一級,middle,名詞,中央
3553,第二級,midnight,名詞,午夜
3554,第五級,midst,介系詞,在...之中
3554,第五級,midst,名詞,當中;中間
3555,第一級,mightn't,縮短形,might not
3556,第三級,mighty,形容詞,強大的;強有力的
3557,第六級,migrant,形容詞,移居(尤指移出國境)的;流浪的
3557,第六級,migrant,名詞,移民;候鳥
3558,第五級,migration,名詞,遷移;遷徙;移民群
3559,第三級,mike,名詞,擴音器;麥克風
3560,第四級,mild,形容詞,"溫和的,溫柔的"
3561,第二級,mile,名詞,英哩
3562,第五級,milestone,名詞,里程碑;劃時代的事件
3563,第二級,military,形容詞,軍事的
3563,第二級,military,名詞,軍隊
3564,第一級,milk,名詞,牛奶
3565,第四級,mill,動詞,碾碎
3565,第四級,mill,名詞,磨坊;銑床;銑刀
3566,第一級,million,名詞,百萬
3567,第四級,millionaire,名詞,百萬富翁
3568,附　錄,millionth,形容詞,第一百萬的
3568,附　錄,millionth,名詞,百萬分之一；第一百萬
3569,第六級,mimic,動詞,模仿;與...極相似
3569,第六級,mimic,名詞,善於模仿的人;滑稽劇演員
3570,第一級,mind,動詞,介意
3570,第一級,mind,名詞,心智
3571,第一級,mine,動詞,開礦;佈雷;破壞
3571,第一級,mine,名詞,我的東西;礦;源泉;地雷;坑道
3571,第一級,mine,代名詞,(所有格) 我的(東西)
3572,第四級,miner,名詞,礦工
3573,第四級,mineral,名詞,礦物
3574,第六級,mingle,動詞,使混合;使相混;交往
3575,第五級,miniature,形容詞,小型的;小規模的
3575,第五級,miniature,名詞,縮樣;縮圖;小型物
3576,第五級,minimal,形容詞,最小的;極微的
3577,第五級,minimize,動詞,使減到最少(或最小);低估
3578,第四級,minimum,形容詞,"最小的,最少的"
3578,第四級,minimum,名詞,最小數;最低限度
3579,第四級,minister,名詞,部長;大臣
3580,第四級,ministry,名詞,(常大寫)(政府的)部
3581,第二級,minor,形容詞,較小的;較次要的
3581,第二級,minor,名詞,未成年者;副科
3582,第二級,minority,名詞,少數;少數民族;未成年
3583,第五級,mint,名詞,薄荷;薄荷糖;造幣廠
3584,第三級,minus,形容詞,"負的,減去的"
3584,第三級,minus,介系詞,減（去）
3584,第三級,minus,名詞,負號
3585,第一級,minute,名詞,分鐘
3586,第三級,miracle,名詞,奇蹟
3587,第六級,miraculous,形容詞,神奇的;奇蹟般的
3588,第二級,mirror,動詞,"反映,反射"
3588,第二級,mirror,名詞,鏡子
3589,第六級,miscellaneous,形容詞,混雜的；各種各樣的
3590,第四級,mischief,名詞,"頑皮,淘氣"
3591,第六級,mischievous,形容詞,惡作劇的;淘氣的
3592,第四級,miserable,形容詞,悽慘的;悲哀的
3593,第三級,misery,名詞,痛苦;不幸;悲慘;窮困
3594,第四級,misfortune,名詞,不幸;惡運
3595,第四級,mislead,動詞,把...帶錯方向;把...引入歧途
3596,第一級,miss,動詞,想念;惦記;未達到
3596,第一級,miss,名詞,少女
3597,第三級,missile,名詞,"飛彈,導彈"
3598,第三級,missing,形容詞,缺掉的;失蹤的;找不到的
3599,第三級,mission,名詞,"使節團;使命,任務"
3600,第五級,missionary,形容詞,傳教的;教會的;傳教士的
3600,第五級,missionary,名詞,傳教士;鼓吹者;(外交)使節
3601,第三級,mist,動詞,使蒙上薄霧
3601,第三級,mist,名詞,薄霧;噴霧
3602,第一級,mistake,動詞,"弄錯,誤解;弄錯,搞錯"
3602,第一級,mistake,名詞,錯誤;誤會
3603,第一級,mister,名詞,先生
3604,第六級,mistress,名詞,"女主人,主婦"
3605,第四級,misunderstand,動詞,誤會;曲解
3606,第二級,mix,動詞,混合
3606,第二級,mix,名詞,"混和,攪和;結合"
3607,第二級,mixture,名詞,"混合,混和"
3608,第五級,moan,動詞,呻吟;嗚咽;悲歎
3608,第五級,moan,名詞,呻吟聲;嗚咽聲;悲歎
3609,第三級,mob,動詞,"成群襲擊,圍攻"
3609,第三級,mob,名詞,"暴民,烏合之眾"
3610,第三級,mobile,形容詞,移動式的;流動的
3611,第六級,mobilize,動詞,動員;調動
3612,第五級,mock,形容詞,假的;假裝的;模擬的
3612,第五級,mock,動詞,嘲弄;(為取笑而)模仿
3612,第五級,mock,名詞,嘲弄;笑柄;仿製品;模擬考
3613,第五級,mode,名詞,方式;型;模式
3614,第二級,model,動詞,塑像;當模特兒
3614,第二級,model,名詞,模型;模特兒
3615,第四級,moderate,形容詞,"中等的,適度的"
3616,第一級,modern,形容詞,現代的
3617,第六級,modernization,名詞,現代化;現代化的事物
3618,第六級,modernize,動詞,使現代化
3619,第四級,modest,形容詞,審慎的;適度的
3620,第四級,modesty,名詞,"謙遜,虛心"
3621,第五級,modify,動詞,更改;修改
3622,第三級,moist,形容詞,"潮濕的,微濕的"
3623,第三級,moisture,名詞,濕氣
3624,第五級,molecule,名詞,分子;微小顆粒
3625,第一級,moment,名詞,片刻
3626,第六級,momentum,名詞,動量;氣勢;動力
3627,附　錄,Mon.,縮寫,星期一 (Monday)
3628,第六級,monarch,名詞,君主
3629,附　錄,Monday,名詞,星期一
3630,第六級,monetary,形容詞,金融的;財政的;貨幣的
3631,第一級,money,名詞,錢
3632,第四級,monitor,動詞,監控;監聽;監測
3632,第四級,monitor,名詞,監視器
3633,第三級,monk,名詞,修道士;僧侶
3634,第一級,monkey,名詞,猴子
3635,第五級,monopoly,名詞,獨佔;專賣;壟斷
3636,第六級,monotony,名詞,單調;千篇一律
3637,第三級,monster,名詞,怪物
3638,第六級,monstrous,形容詞,怪異的;駭人聽聞的;巨大的
3639,第一級,month,名詞,月份
3640,第三級,monthly,形容詞,每月的;每月一次的
3640,第三級,monthly,副詞,每月;每月一次
3640,第三級,monthly,名詞,月刊
3641,第四級,monument,名詞,"紀念碑,紀念塔,紀念館"
3642,第二級,mood,名詞,"心情,心境,情緒"
3643,第六級,moody,形容詞,喜怒無常的;悶悶不樂的
3644,第一級,moon,名詞,月亮
3645,第二級,mop,動詞,拖洗;擦去
3645,第二級,mop,名詞,拖把
3646,第三級,moral,形容詞,道德(上)的
3646,第三級,moral,名詞,道德;品行
3647,第六級,morale,名詞,士氣;鬥志;道德
3648,第五級,morality,名詞,道德;倫理;寓意
3649,第一級,more,形容詞,更多的
3649,第一級,more,副詞,更多;另外;再
3649,第一級,more,代名詞,更多的數量
3650,第四級,moreover,副詞,"並且,加之,此外"
3651,第一級,morning,名詞,早晨
3652,第六級,mortal,形容詞,會死的;凡人的;致命的;極度的
3652,第六級,mortal,名詞,人;凡人
3653,第五級,mortality,名詞,死亡率
3654,第五級,mortgage,名詞,抵押借款
3655,第三級,mosquito,名詞,蚊子
3656,第一級,most,形容詞,最多的;大部分的
3656,第一級,most,副詞,"最;最多;非常,很"
3656,第一級,most,代名詞,大部分
3657,第三級,mostly,副詞,"一般地,通常"
3658,第三級,motel,名詞,汽車旅館
3659,第三級,moth,名詞,"蛾;蠹,蛀蟲"
3660,第一級,mother,名詞,母親
3661,第六級,motherhood,名詞,母性;(總稱)母親們
3662,第二級,motion,名詞,移動
3663,第四級,motivate,動詞,給...動機;刺激
3664,第四級,motivation,名詞,刺激;推動
3665,第五級,motive,名詞,動機;主旨
3666,第三級,motor,名詞,"馬達,發動機"
3667,第二級,motorcycle,名詞,機車
3668,第六級,motto,名詞,座右銘;格言
3669,第六級,mound,動詞,築牆防衛;堆起
3669,第六級,mound,動詞,積成堆
3669,第六級,mound,名詞,土墩;墳堆;小丘;投手的踏板
3670,第五級,mount,動詞,登上;騎上;鑲嵌;發動(攻勢)
3670,第五級,mount,名詞,騎;可乘騎的東西;底座;山丘
3671,第一級,mountain,名詞,山
3672,第四級,mountainous,形容詞,多山的;巨大的
3673,第六級,mourn,動詞,哀痛;哀悼
3674,第六級,mournful,形容詞,憂傷的;悲切的
3675,第一級,mouse,名詞,老鼠
3675,第一級,mouse,名詞,滑鼠
3676,第一級,mouth,動詞,誇大地說話
3676,第一級,mouth,名詞,嘴巴
3677,第一級,move,動詞,移動
3678,第一級,movement,名詞,動作
3679,第一級,movie,名詞,電影
3680,第六級,mow,動詞,刈(草坪等)上的草
3681,第一級,Mr.,名詞,先生
3682,第一級,Mrs.,名詞,夫人，太太
3683,第一級,Ms.,名詞,女士
3684,第一級,much,形容詞,很多的
3684,第一級,much,副詞,"非常;很;差不多,幾乎"
3684,第一級,much,代名詞,"許多,大量;重要的事物"
3685,第一級,mud,名詞,泥巴
3686,第四級,muddy,形容詞,多爛泥的;泥濘的
3687,第二級,mug,名詞,(有柄)大杯子
3688,第四級,mule,名詞,騾;固執的人
3689,第四級,multiple,形容詞,複合的;多樣的
3690,第三級,multiply,動詞,"乘,使相乘"
3691,第五級,mumble,動詞,含糊地說;咕噥
3691,第五級,mumble,名詞,含糊的話;咕噥
3692,第五級,municipal,形容詞,市的;市政的
3693,第三級,murder,動詞,"謀殺,兇殺"
3693,第三級,murder,名詞,"謀殺,兇殺"
3694,第四級,murderer,名詞,"謀殺犯,兇手"
3695,第四級,murmur,動詞,"私下抱怨,咕噥"
3695,第四級,murmur,名詞,低聲抱怨
3696,第三級,muscle,名詞,肌;肌肉
3697,第五級,muscular,形容詞,肌肉的;健壯的
3698,第六級,muse,名詞,沈思;冥想
3699,第一級,museum,名詞,博物館
3700,第三級,mushroom,動詞,雨後春筍般地湧現
3700,第三級,mushroom,名詞,蘑菇
3701,第一級,music,名詞,音樂
3702,第二級,musical,形容詞,音樂的
3702,第二級,musical,名詞,歌舞劇;音樂片
3703,第二級,musician,名詞,音樂家
3704,附　錄,Muslim,名詞,穆斯林，回教徒
3705,第一級,must,助動詞,必須
3705,第一級,must,名詞,必須做的事;不可少的事物
3706,第六級,mustache,名詞,髭;小鬍子
3707,第五級,mustard,名詞,芥末;芥菜;芥末色
3708,第一級,mustn't,縮短形,must not
3709,第六級,mute,形容詞,沈默的;啞的
3709,第六級,mute,動詞,消除(聲音);減輕(聲音)
3709,第六級,mute,名詞,啞巴;弱音器
3710,第四級,mutual,形容詞,相互的;共同的
3711,第一級,my,代名詞,(所有格) 我的
3712,第一級,myself,代名詞,(反身代名詞)    我自己
3713,第四級,mysterious,形容詞,神祕的;不可思議的
3714,第三級,mystery,名詞,"神祕,祕密"
3715,第五級,myth,名詞,神話;虛構的人(或事物)
3716,附　錄,n.,縮寫,名詞（noun 的縮寫）
3717,第六級,nag,動詞,使煩惱;糾纏不休;不斷嘮叨
3717,第六級,nag,名詞,好嘮叨的人
3718,第二級,nail,名詞,釘子;指甲
3719,第五級,naive,形容詞,天真的;幼稚的;輕信的
3720,第三級,naked,形容詞,裸體的
3721,第一級,name,動詞,給...取名;列舉
3721,第一級,name,名詞,名字
3722,第四級,namely,副詞,"即,那就是"
3723,第三級,nap,動詞,"打盹,小睡"
3723,第三級,nap,名詞,打盹兒
3724,第三級,napkin,名詞,餐巾
3725,第六級,narrate,動詞,講(故事);敘述;作旁白
3726,第五級,narrative,形容詞,敘事的;故事形式的
3726,第五級,narrative,名詞,記敘文;故事;敘述
3727,第六級,narrator,名詞,解說員;敘述者
3728,第二級,narrow,形容詞,窄的
3728,第二級,narrow,動詞,變窄;收縮;減少
3729,第五級,nasty,形容詞,齷齪的;卑鄙的;難處理的
3730,第二級,nation,名詞,國家
3731,第一級,national,形容詞,國家的
3732,第六級,nationalism,名詞,民族主義;國家主義
3733,第四級,nationality,名詞,國籍
3734,第三級,native,形容詞,"本土的,本國的"
3734,第三級,native,名詞,"土著,原住民"
3735,第二級,natural,形容詞,天然的
3736,第一級,nature,名詞,自然
3737,第二級,naughty,形容詞,頑皮的
3738,第六級,navigate,動詞,航行於;飛行於;操縱;導航
3739,第六級,navigation,名詞,航海;航空;導航
3740,第三級,navy,名詞,海軍
3741,第一級,near,形容詞,近的
3741,第一級,near,動詞,"近,接近;幾乎,差不多"
3741,第一級,near,副詞,近地
3741,第一級,near,介系詞,接近
3742,第二級,nearby,形容詞,附近的
3742,第二級,nearby,副詞,在附近
3743,第二級,nearly,副詞,"幾乎,差不多;密切地,親密地"
3744,第六級,nearsighted,形容詞,近視的
3745,第三級,neat,形容詞,整潔的;整齊的
3746,第二級,necessary,形容詞,需要的
3747,第三級,necessity,名詞,必需品
3748,第一級,neck,名詞,脖子
3749,第二級,necklace,名詞,項鍊
3750,第三級,necktie,名詞,領帶
3751,第一級,need,動詞,需要
3751,第一級,need,助動詞,"(用於疑問句和否定句)需要,必須"
3751,第一級,need,名詞,需要;需求;貧窮
3752,第二級,needle,名詞,針
3753,第四級,needy,形容詞,貧窮的
3754,第二級,negative,形容詞,否定的;負面的
3754,第二級,negative,名詞,否定語;負數;陰電;底片
3755,第四級,neglect,動詞,"忽視,忽略"
3755,第四級,neglect,名詞,忽略;疏忽;疏漏
3756,第四級,negotiate,動詞,"談判,協商"
3757,第五級,negotiation,名詞,"談判,協商"
3758,第二級,neighbor,名詞,鄰居
3759,第三級,neighborhood,名詞,近鄰
3760,第二級,neither,形容詞,兩者都不
3760,第二級,neither,副詞,也不
3760,第二級,neither,連接詞,也不
3760,第二級,neither,代名詞,兩者都不
3761,第二級,nephew,名詞,侄子;外甥
3762,第二級,nerve,名詞,神經
3763,第二級,nervous,形容詞,緊張的
3764,第三級,nest,動詞,築巢;巢居;伏窩
3764,第三級,nest,名詞,巢
3765,第一級,net,動詞,用網捕;使淨賺
3765,第一級,net,名詞,網子
3766,第二級,network,動詞,聯播
3766,第二級,network,名詞,電視網;電腦網絡
3767,第五級,neutral,形容詞,中立的;中立國的;空檔的
3767,第五級,neutral,名詞,中立者;中立國;空檔
3768,第一級,never,副詞,永不
3769,第四級,nevertheless,副詞,"仍然,不過,然而"
3770,第一級,new,形容詞,新的
3771,第一級,news,名詞,新聞
3772,第一級,newspaper,名詞,報紙
3773,第一級,next,形容詞,下一個
3773,第一級,next,副詞,"接下去,然後;下次;第二"
3774,第一級,nice,形容詞,好的
3775,第六級,nickel,動詞,鍍鎳於
3775,第六級,nickel,名詞,鎳;五分鎳幣
3776,第三級,nickname,動詞,給...起綽號
3776,第三級,nickname,名詞,"綽號,渾名"
3777,第二級,niece,名詞,侄女;外甥女
3778,第一級,night,名詞,夜晚
3779,第四級,nightmare,名詞,夢魘;惡夢
3780,附　錄,nine,形容詞,九的
3780,附　錄,nine,名詞,九
3781,附　錄,nineteen,形容詞,十九的
3781,附　錄,nineteen,名詞,十九
3782,附　錄,nineteenth,形容詞,第十九的；十九分之一的
